Year,State,Pop,Beneficiaries,Pct_Bene
2008,Rhode Island,674602,47168,7.0
2008,South Carolina,2817278,199433,7.1
2008,South Dakota,489785,22449,4.6
2008,Tennessee,3916668,294702,7.5
2008,Texas,15128980,710031,4.7
2008,Utah,1640587,50885,3.1
2008,Vermont,405691,25850,6.4
2008,Virginia,5005311,254031,5.1
2008,Washington,4224172,208678,4.9
2008,West Virginia,1143243,140625,12.3
2008,Wisconsin,3563409,181249,5.1
2008,Wyoming,338597,14154,4.2
2009,US_Total,192887745,11254927,5.834962195239516
2009,Alabama,2928795,290222,9.909263024554466
2009,Alaska,462078,17901,3.87402126913638
2009,Arizona,3997025,187976,4.702897780224042
2009,Arkansas,1765801,174190,9.86464499680315
2009,California,23377927,1097560,4.694855963918443
2009,Colorado,3263405,117771,3.6088380081540596
2009,Connecticut,2222248,105744,4.758424802272294
2009,Delaware,551436,32435,5.88191558041187
2009,District of Columbia,415437,25250,6.077937208289103
2009,Florida,11284355,635582,5.6324176259963465
2009,Georgia,6230605,342626,5.499080747375254
2009,Hawaii,816637,34051,4.169661673424055
2009,Idaho,939193,49718,5.293693628466141
2009,Illinois,8138559,412486,5.068292802202453
2009,Indiana,4005157,238280,5.949329826521158
2009,Iowa,1850407,93967,5.0781800976758085
2009,Kansas,1746250,88603,5.073901216893343
2009,Kentucky,2729454,293106,10.738631242732064
2009,Louisiana,2814394,226615,8.051999826605655
2009,Maine,841508,72776,8.648283795281804
2009,Maryland,3652747,162642,4.452594170907539
2009,Massachusetts,4266071,269491,6.317077235704703
2009,Michigan,6280063,432734,6.890599664366424
2009,Minnesota,3334362,152321,4.568220247231705
2009,Mississippi,1807341,181159,10.023509675263274
2009,Missouri,3733817,259673,6.954625789105358
2009,Montana,613258,33771,5.506817685215684
2009,Nebraska,1104348,51168,4.633322104988645
2009,Nevada,1655209,69246,4.183520026776074
2009,New Hampshire,856257,50952,5.950549893314741
2009,New Jersey,5488867,250984,4.572601230818673
2009,New Mexico,1238091,82935,6.698619083734555
2009,New York,12497615,766745,6.13513058291522
2009,North Carolina,5910892,394708,6.677638501938456
2009,North Dakota,408003,17586,4.310262424540996
2009,Ohio,7222988,453875,6.283756805355346
2009,Oklahoma,2272239,162430,7.148455774238538
2009,Oregon,2435984,128847,5.289320455306767
2009,Pennsylvania,7883369,542012,6.875385384091497
2009,Rhode Island,675788,48417,7.164524969369092
2009,South Carolina,2857287,210850,7.379377710394511
2009,South Dakota,495035,23307,4.708151948852101
2009,Tennessee,3962049,307910,7.771483896337476
2009,Texas,15347118,752206,4.9012850490886954
2009,Utah,1664589,53759,3.2295659769468616
2009,Vermont,405574,27037,6.666354352103439
2009,Virginia,5075318,262056,5.163341489144129
2009,Washington,4288401,219571,5.120113534158769
2009,West Virginia,1145771,142230,12.413475293055942
2009,Wisconsin,3583245,192730,5.378644217741182
2009,Wyoming,345378,14716,4.26083884902918
2010,US_Total,194296087,11780167,6.062997552801977
2010,Alabama,2989485,303980,10.168306581233892
2010,Alaska,467915,18688,3.9938877787632365
2010,Arizona,3881172,195697,5.042214052868566
2010,Arkansas,1784462,181454,10.168555004253383
2010,California,23712402,1126399,4.750252631513248
2010,Colorado,3253962,126157,3.8770274514576384
2010,Connecticut,2250523,109855,4.881309811097243
2010,Delaware,562892,33698,5.9865835719818365
2010,District of Columbia,432099,26696,6.178213788969657
2010,Florida,11539617,673557,5.836909491883483
2010,Georgia,6164066,359591,5.8336656356372565
2010,Hawaii,861345,35440,4.114495353197616
2010,Idaho,943842,52508,5.563219267631659
2010,Illinois,8092240,427041,5.277166767174479
2010,Indiana,4034396,253541,6.2844847159277375
2010,Iowa,1865474,97646,5.234380109291258
2010,Kansas,1750063,92856,5.305866131676402
2010,Kentucky,2737769,304312,11.115327845409894
2010,Louisiana,2857500,237353,8.306316710411199
2010,Maine,842748,74971,8.896016365509025
2010,Maryland,3712946,172605,4.648734455066139
2010,Massachusetts,4225982,280555,6.638811996832926
2010,Michigan,6178042,461154,7.464403770644486
2010,Minnesota,3336741,160017,4.795607450503351
2010,Mississippi,1831335,186848,10.202830175800713
2010,Missouri,3725197,274822,7.377381652567635
2010,Montana,619110,35259,5.695110723457867
2010,Nebraska,1120443,53554,4.779716594239957
2010,Nevada,1711184,73354,4.286739473954876
2010,New Hampshire,850968,54137,6.36181384023841
2010,New Jersey,5540687,262392,4.735730424765015
