,index,RegName,State,Year,Pov,AvgAge,TotalWages,CompPerJob,TotalComp,TotalEmp,PIpercap,GDPpercap,Pop,Beneficiaries,Pct_Bene,CompPerCap,EmpPerCap,WagePerCap,d_pct_CompPerJob,d_pct_PIPerCap,d_pct_GDPPerCap,d_pct_CompPerCap,d_pct_WagePerCap,d_pct_EmpPerCap,d_pct_AvgAge,d_pct_Pov,BenePerCap,d_pct_BenePerCap,d_pct_CompPerJob_1,d_pct_PIPerCap_1,d_pct_GDPPerCap_1,d_pct_CompPerCap_1,d_pct_WagePerCap_1,d_pct_EmpPerCap_1,d_pct_AvgAge_1,d_pct_Pov_1,d_pct_BenePerCap_1
285,285,South Region,Maryland,2015,5892.0,37.85,162273113,73079,202233746,3601539,56078,54626,3808604,195278,0.051272854830798895,53099.17912179896,0.9456323104213512,42606.9796177287,0.02728499536112916,0.036389510063020936,0.015145602200293595,0.04052385893107169,0.04469835969134395,0.01706103107659862,-0.006300866369125857,-0.00707785642062686,0.051272854830798895,0.007597917101906715,0.024747911264765277,0.027399081001025394,0.0036744133994852657,0.030564082139187265,0.029327960679005782,0.00820565009799723,-0.008589276418532021,5934.0,0.006276629727655525
287,287,South Region,North Carolina,2006,8847.0,36.6,163347431,47203,202175730,5258722,34112,46408,5624167,355851,0.06327176984609455,35947.67545131572,0.9350223775360866,29043.844359529154,0.0392787159558774,0.05813015695762758,0.03032725012210835,0.04230218393198326,0.04571756013140038,0.006360796581908579,0.012448132780083165,0.036191145467322494,0.06327176984609455,0.00914570077351029,-0.3784945059456205,-0.42512215128927566,-0.17544758906015445,-0.35048474290050735,-0.34813306682780465,-0.01746961076007214,-0.044914134742404355,8538.0,0.22283710765582776
288,288,South Region,North Carolina,2007,9170.0,36.91,173900845,48926,214825351,5440793,36013,45440,5739939,365295,0.06364092022580728,37426.41707516404,0.9478834182732604,30296.636427669353,0.03650191725102214,0.05572818949343339,-0.020858472677124595,0.041135945656652906,0.04313451251948908,0.013754794586910757,0.008469945355191077,0.03650955126031419,0.06364092022580728,0.005834361526644072,0.0392787159558774,0.05813015695762758,0.03032725012210835,0.04230218393198326,0.04571756013140038,0.006360796581908579,0.012448132780083165,8847.0,0.00914570077351029
289,289,South Region,North Carolina,2008,9234.0,36.69,177799210,50199,219945247,5425837,37810,45567,5839685,375758,0.06434559398323711,37663.88889126725,0.9291317939238161,30446.712451099673,0.026018885664064184,0.04989864771054897,0.002794894366197287,0.006345032056536137,0.004953553962619317,-0.01978262725979929,-0.005960444324031422,0.006979280261723009,0.06434559398323711,0.011072651918444087,0.03650191725102214,0.05572818949343339,-0.020858472677124595,0.041135945656652906,0.04313451251948908,0.013754794586910757,0.008469945355191077,9170.0,0.005834361526644072
290,290,South Region,North Carolina,2009,9336.0,36.87,169692207,50911,212447127,5232535,35840,43160,5910892,394708,0.06677638501938456,35941.63571251175,0.8852361031126943,28708.392405071856,0.014183549473097079,-0.05210261835493257,-0.05282331511839711,-0.04572690790713385,-0.05709385040567927,-0.047243772194842104,0.004905968928863524,0.011046133853151341,0.06677638501938456,0.03777711705918363,0.026018885664064184,0.04989864771054897,0.002794894366197287,0.006345032056536137,0.004953553962619317,-0.01978262725979929,-0.005960444324031422,9234.0,0.011072651918444087
291,291,South Region,North Carolina,2010,9359.0,37.13,173667504,52715,217636067,5182455,35331,43140,6019769,413764,0.06873419893686951,36153.55788569296,0.860905958351558,28849.529608195928,0.035434385496258214,-0.014202008928571375,-0.0004633920296570615,0.005896286270227646,0.004916234985667067,-0.02748435663162163,0.007051803634391174,0.002463581833761719,0.06873419893686951,0.02931895634836512,0.014183549473097079,-0.05210261835493257,-0.05282331511839711,-0.04572690790713385,-0.05709385040567927,-0.047243772194842104,0.004905968928863524,9336.0,0.03777711705918363
292,292,South Region,North Carolina,2011,9504.0,37.53,180149919,53493,223658118,5298027,36474,43223,6090022,425264,0.06982963279935606,36725.338266429906,0.8699520297299419,29581.160626349134,0.01475860760694303,0.032351193003311574,0.0019239684747334174,0.015815328121916883,0.025360240811183044,0.010507618504238314,0.010772959870724463,0.015493108238059605,0.06982963279935606,0.015937246369782665,0.035434385496258214,-0.014202008928571375,-0.0004633920296570615,0.005896286270227646,0.004916234985667067,-0.02748435663162163,0.007051803634391174,9359.0,0.02931895634836512
293,293,South Region,North Carolina,2012,9634.0,38.07,187170317,55000,233436835,5359040,38600,42655,6117676,438159,0.07162180540453597,38157.76366711804,0.875992778957238,30595.003233253934,0.02817191034340949,0.05828809562976356,-0.013141151701640319,0.03900373606626495,0.03427325315970631,0.006943772783852609,0.014388489208633004,0.013678451178451123,0.07162180540453597,0.025664929533990577,0.01475860760694303,0.032351193003311574,0.0019239684747334174,0.015815328121916883,0.025360240811183044,0.010507618504238314,0.010772959870724463,9504.0,0.015937246369782665
294,294,South Region,North Carolina,2013,9619.0,37.74,192889469,55385,238627551,5447343,37813,42848,6155356,447171,0.07264746344484381,38767.465439854335,0.8849761086117521,31336.85021629943,0.006999999999999895,-0.020388601036269383,0.004524674715742583,0.015978446170358263,0.024247324878174048,0.010255027062218147,-0.008668242710795804,-0.0015569856757318146,0.07264746344484381,0.014320471740620011,0.02817191034340949,0.05828809562976356,-0.013141151701640319,0.03900373606626495,0.03427325315970631,0.006943772783852609,0.014388489208633004,9634.0,0.025664929533990577
295,295,South Region,North Carolina,2014,9823.0,38.17,201745484,57154,251027671,5567214,39388,43260,6193053,449271,0.0725443492894377,40533.75144698423,0.8989449953036087,32576.0951827798,0.03194005597183347,0.04165234178721611,0.009615384615384581,0.04556103905916142,0.039545932597775835,0.015784478875672026,0.011393746687864414,0.02120802578230596,0.0725443492894377,-0.0014193772296591245,0.006999999999999895,-0.020388601036269383,0.004524674715742583,0.015978446170358263,0.024247324878174048,0.010255027062218147,-0.008668242710795804,9619.0,0.014320471740620011
296,296,South Region,North Carolina,2015,9887.0,38.09,213255641,58613,263345770,5703767,40790,43680,6235410,449270,0.07205139678064473,42233.914048955885,0.9147380845846544,34200.740769251744,0.0255275221331841,0.035594597339291045,0.009708737864077666,0.041944368366579,0.04987232439481426,0.017568471222993765,-0.0020958868221115923,0.006515321184973999,0.07205139678064473,-0.006795188234802185,0.03194005597183347,0.04165234178721611,0.009615384615384581,0.04556103905916142,0.039545932597775835,0.015784478875672026,0.011393746687864414,9823.0,-0.0014193772296591245
298,298,South Region,South Carolina,2006,4224.0,36.91,70168669,43717,87382197,2421894,30577,37326,2728200,189321,0.06939410600395865,32029.24895535518,0.8877259731691225,25719.767245803094,0.04145127093408285,0.05590855722080246,-0.001898548011872614,0.05036697792503064,0.050240676702599574,0.013323216966743656,0.011232876712328643,0.014409221902017322,0.06939410600395865,0.008012781181784279,-0.28382781976694593,-0.29007109585682767,-0.14384157509157514,-0.2779880864377393,-0.28395109249064443,-0.042289668599821084,-0.041743239695458234,4164.0,-0.044536410093379386
