,State,Year,MedExpDummy,ACA_Enroll,d_pct_ACA_Enroll,index,RegName,Pov,AvgAge,TotalWages,CompPerJob,TotalComp,TotalEmp,PIpercap,GDPpercap,Pop,Beneficiaries,Pct_Bene,CompPerCap,EmpPerCap,WagePerCap,d_pct_CompPerJob,d_pct_PIPerCap,d_pct_GDPPerCap,d_pct_CompPerCap,d_pct_WagePerCap,d_pct_EmpPerCap,d_pct_AvgAge,d_pct_Pov,BenePerCap,d_pct_BenePerCap,d_pct_CompPerJob_1,d_pct_PIPerCap_1,d_pct_GDPPerCap_1,d_pct_CompPerCap_1,d_pct_WagePerCap_1,d_pct_EmpPerCap_1,d_pct_AvgAge_1,d_pct_Pov_1,d_pct_BenePerCap_1
10,Hawaii,2015,1,12625,1.7086462132589575,538,West Region,1382.0,38.87,34578403,62477,44661957,900005,48506,49945,883856,35349,0.03999407143245053,50530.80705454282,1.0182710758313571,39122.213346970544,0.03223408122129334,0.04103532643688035,0.014894741120051957,0.047978163801601026,0.05187862573886437,0.019197973076632957,0.01567807682257638,0.01245421245421241,0.03999407143245053,-0.01877558992439865,0.026194876316101734,0.04379578395573369,-0.005396228703086203,0.033500830053590835,0.034484405984034794,0.00915878552957028,0.0034084950183534968,1365.0,-0.015274927223405399
11,Idaho,2015,0,97079,1.2133330293426963,450,West Region,1657.0,37.15,27837113,49507,34772297,948030,38440,35455,978599,60559,0.061883365913923884,35532.73301934705,0.9687624859620744,28445.88334956402,0.023675613084653158,0.03383357538593934,0.01447823972073592,0.03943705527427244,0.0354217391103826,0.016123946776477993,0.032231175326479455,0.03175591531755906,0.061883365913923884,0.003114252827216779,0.01173615614736101,0.040929451287794016,0.0044259232648369284,0.028846837629893818,0.04482715106217783,0.014632426319014069,0.0055881531153954,1606.0,0.0037990572997192995
12,Illinois,2015,1,349487,2.072872429286135,109,Midwest Region,12683.0,38.27,350205878,69846,428849429,7748448,50377,53669,8071045,441370,0.05468560762577832,53134.312719108864,0.9600303306449165,43390.400871262646,0.02937231957319497,0.037353540761485116,0.020226214238190376,0.049256937947210755,0.054468562536573506,0.02198822649348431,0.008697944122298518,-0.00712384531078758,0.05468560762577832,0.0007244651305953198,0.019778469122443187,0.04109677142734647,0.011984917856181054,0.03485837963504346,0.04286830733445668,0.0155636850216343,0.018523489932885884,12774.0,-0.006608994678128033
13,Indiana,2015,0,219185,2.37353013605861,120,Midwest Region,6502.0,37.99,138591249,55159,171272957,3808403,41984,45118,4074097,284303,0.06978307094799166,42039.48924141963,0.9347845669850277,34017.66060061898,0.02034813814535963,0.037231020085480626,0.011024963026038614,0.03673164409890295,0.04827508310245099,0.018266227286324543,0.007692307692307665,0.004945904173106586,0.06978307094799166,0.006280746576852847,0.03014654038912279,0.03394809441095337,0.01697773523848589,0.044416855299908686,0.035299947409336285,0.01381847013682358,0.006675567423231055,6470.0,0.007465629373409666
14,Iowa,2015,1,45162,1.9429167209696336,164,Midwest Region,3100.0,38.32,70123638,53566,87082883,2064932,45930,49532,1892226,106752,0.05641609406064603,46021.396492807944,1.0912713386244561,37058.806928982056,0.02246654832121253,0.03348184150128253,0.007895165228715584,0.032331303023275026,0.04283826065773533,0.011815998310926057,-0.0015633142261595179,0.007147498375568606,0.05641609406064603,0.0011026594237717458,0.0438343063221025,0.02901201694876021,0.020707416869171436,0.05110700737674745,0.046536228696644866,0.006609150614914405,0.007084754657570302,3078.0,0.00727726019068875
15,Kansas,2015,0,96197,2.282165887611314,175,Midwest Region,2849.0,37.11,66665902,56112,83131233,1913784,47241,46132,1765674,100680,0.05702071843386718,47081.86958634493,1.0838829817961866,37756.631178801974,0.030561269468116325,0.01718235256120404,0.004463605286650463,0.03747246352012623,0.03469975595910357,0.009900816786065691,-0.0016142050040355294,-0.00070150824272186,0.05702071843386718,-0.0019955735772957395,0.02048542779495821,0.012558048269998068,0.010717429577464799,0.036540257757813555,0.04082297430264559,0.013236124666639926,0.013082583810302584,2851.0,-0.003867751401277486
16,Kentucky,2015,1,106330,0.9352079352079352,351,South Region,4365.0,38.71,85338580,54208,107314267,2481356,38592,38865,2740660,307357,0.11214707406245211,39156.35905219911,0.9053862938124393,31137.966767129084,0.031001559587660266,0.04147888274187017,0.011345598376226285,0.04897671449318475,0.04932693556051637,0.019524458202021755,0.002070929329536675,0.01535240753663647,0.11214707406245211,-0.00954218625270109,0.01946717338193671,0.04130954053674296,0.002556677362969939,0.033435624710154155,0.040845358692608746,0.012868766346841198,0.010462987182840777,4299.0,-0.008380198446225728
17,Louisiana,2015,0,186277,3.088518689229824,395,South Region,4599.0,36.96,97086954,57642,119619371,2707690,42963,44587,2902817,254775,0.08776819206997892,41208.0303374274,0.9327801235834019,33445.771469575935,0.01423468759347557,0.027306855407570385,0.004845397998737955,0.01821863507672017,0.017251814786087394,0.009504569659111617,0.011217510259918129,0.010769230769230864,0.08776819206997892,-0.0007277331681436738,0.02749855365924203,0.04283968780390501,0.009349195878164629,0.0402422682265946,0.042222073614073485,0.013629331492569507,-0.014027515511195077,4550.0,0.0011506852986524763
18,Maine,2015,0,74805,1.9436880214072092,21,Northeast Region,1340.0,42.56,26833121,53614,33509950,822105,42795,38431,822412,79625,0.0968188693744741,40745.93999114799,0.9996267077815012,32627.346147672943,0.03193147916466166,0.03805850676757383,0.011848029277796712,0.047097762824459544,0.04794259465537998,0.02014032883560568,0.016479579651301757,0.03076923076923066,0.0968188693744741,0.0022361804232904348,0.025906838062516035,0.03922359465591119,0.015697705514253535,0.03854907677299679,0.04005691796637656,0.013988413983067272,0.019478938397857304,1300.0,0.005348988017460421
19,Maryland,2015,1,120145,2.1558970317835566,285,South Region,5892.0,37.85,162273113,73079,202233746,3601539,56078,54626,3808604,195278,0.051272854830798895,53099.17912179896,0.9456323104213512,42606.9796177287,0.02728499536112916,0.036389510063020936,0.015145602200293595,0.04052385893107169,0.04469835969134395,0.01706103107659862,-0.006300866369125857,-0.00707785642062686,0.051272854830798895,0.007597917101906715,0.024747911264765277,0.027399081001025394,0.0036744133994852657,0.030564082139187265,0.029327960679005782,0.00820565009799723,-0.008589276418532021,5934.0,0.006276629727655525
