"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"53000","Washington","8","1000","Per capita real GDP by state","1","...","All industry total",45753,47712,50591,50063,48408,48855,49149,49407,51956,52900,55348,54939,52264,52681,52495,53423,53987,54773,55577
"54000","West Virginia","5","1000","Per capita real GDP by state","1","...","All industry total",30445,30978,32208,32144,32263,32506,32396,32862,33628,34009,33892,34679,34564,35368,36085,35515,35778,36234,36817
"55000","Wisconsin","3","1000","Per capita real GDP by state","1","...","All industry total",38663,39695,41053,41911,42078,42694,43568,44455,45131,45515,45464,44622,43215,44126,44905,45380,45582,46469,46893
"56000","Wyoming","7","1000","Per capita real GDP by state","1","...","All industry total",46585,47652,49380,50814,53656,53921,54930,55848,57642,63428,65471,69182,66320,64602,63981,60744,60743,61639,61389
"91000","New England","1","1000","Per capita real GDP by state","1","...","All industry total",45725,47235,48898,51981,52414,52547,53454,55270,56153,57086,58158,57544,55896,56775,56890,57199,56621,56881,58074
"92000","Mideast","2","1000","Per capita real GDP by state","1","...","All industry total",46748,47850,49617,51004,52104,52287,52692,53996,55279,56133,56542,56068,55507,56662,56720,57650,57793,58215,59071
"93000","Great Lakes","3","1000","Per capita real GDP by state","1","...","All industry total",40749,41888,43165,44071,43379,44033,44752,45470,45894,46152,46279,45045,42881,44173,45113,45761,46079,46874,47604
"94000","Plains","4","1000","Per capita real GDP by state","1","...","All industry total",39071,39970,40772,42243,41945,42656,43961,45031,45733,46013,46501,46794,45399,46210,46921,47629,48126,48778,49153
"95000","Southeast","5","1000","Per capita real GDP by state","1","...","All industry total",36722,37896,39106,39452,39682,40080,40912,41901,43067,43586,43028,42092,40346,40675,40471,40415,40487,40802,41352
"96000","Southwest","6","1000","Per capita real GDP by state","1","...","All industry total",38887,40283,41303,41996,42373,42371,42519,43687,44282,45743,46684,45914,44324,44491,45344,46881,48064,49327,50519
"97000","Rocky Mountain","7","1000","Per capita real GDP by state","1","...","All industry total",38243,40390,42232,44134,43966,43937,44133,44273,45662,46756,47587,47019,45170,44937,45060,45014,45564,46508,47093
"98000","Far West","8","1000","Per capita real GDP by state","1","...","All industry total",41901,43467,45684,47786,46744,47346,48705,50640,52439,53932,54469,53881,51328,51609,51857,52429,52942,54077,55429
"Note: See the included footnote file."
NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
